game,name,date,format,id,players,organizerId
PTCG,SEASAC World Championships Qualifiers | $15 PRIZE,2026-07-24T11:30:00.000Z,STANDARD,6a5f729b52c24ac2da6480ec,133,2623
PTCG,Oceania Open! | Season 3 - Week 4,2026-07-24T09:30:00.000Z,STANDARD,6a4386fbc87cd9ff0a31356b,75,1659
PTCG,💥​Plantel Battle #28 PITCH 💥​100 CODES ✔️​ TOP 8,2026-07-23T23:00:00.000Z,STANDARD,6a5e4d3752c24ac2da647443,121,1727
PTCG,ASRcristiano # 175 - Pitch Black legal!,2026-07-23T19:15:00.000Z,STANDARD,6a60c513937230b102d4178c,67,1778
PTCG,⚡ Surge's TCG Vault Winner Takes All - 50 Codes,2026-07-23T18:59:00.000Z,STANDARD,6a5e2d63937230b102d401a2,104,2603
PTCG,🏆Moujii's Dojo🏆 (Late Registration Available!),2026-07-23T16:10:00.000Z,STANDARD,6a5a671b52c24ac2da644850,229,35
PTCG,REFINE Summer Series Session 4: Pitchin' Black,2026-07-22T23:30:00.000Z,STANDARD,6a58f606cc68177ec6c56a6c,108,2568
PTCG,Hideout TCG MID-WEEK Meta Clash 100 codes pitch,2026-07-22T21:15:00.000Z,STANDARD,6a5fee22937230b102d41237,57,2705
PTCG,ASRcristiano # 174 - Pitch Black legal!,2026-07-22T19:00:00.000Z,STANDARD,6a60c4e652c24ac2da648d95,81,1778
PTCG,⚡ Surge's TCG Vault Winner Takes All - 50 Codes,2026-07-22T17:00:00.000Z,STANDARD,6a5e2d30937230b102d401a0,156,2603
PTCG,SEASAC League Challenge #24 (SEASON 3) [50 CODES],2026-07-22T11:30:00.000Z,STANDARD,6a5bb770937230b102d3ec7d,103,2623
PTCG,Torneo Sidedeck Online Gratis Martes 21 Julio,2026-07-22T00:00:00.000Z,STANDARD,6a5d7fee52c24ac2da646f01,59,2306
PTCG,Pitch Black Legal - Last Prize Series #9,2026-07-21T23:35:00.000Z,STANDARD,6a5e8d4b937230b102d40671,177,2227
PTCG,👑 CrownOfSpain 👑 #2,2026-07-21T18:00:00.000Z,STANDARD,6a4e22cd063cb29d318e68d8,118,2698
PTCG,⚡ Surge's TCG Vault Winner Takes All - 50 Codes,2026-07-21T17:00:00.000Z,STANDARD,6a5e2ce1937230b102d4019f,90,2603
PTCG,Team Corna Weekly July #4,2026-07-21T16:00:00.000Z,STANDARD,6a5baefb52c24ac2da645a63,141,2583
PTCG,SEASAC League Challenge #23 (SEASON 3) [50 CODES],2026-07-21T11:30:00.000Z,STANDARD,6a5b9ac952c24ac2da645851,114,2623
PTCG,🏛💫 Card Temple Weekly Battles #68,2026-07-21T02:00:00.000Z,STANDARD,6a5e8dd6937230b102d40677,117,2152
PTCG,🇧🇷 Hit Cup #12 • TCG Live | Prize - Booster Box,2026-07-21T00:00:00.000Z,STANDARD,6a3d4024c87cd9ff0a30f17b,94,2612
PTCG,🇧🇷 32° Torneio Padrão do Zap! PIX Especial💲💲,2026-07-20T23:00:00.000Z,STANDARD,6a4d59f465724db9ded3f918,63,78
PTCG,🇧🇷 32° Torneio Padrão do Zap! PIX Especial💲💲,2026-07-20T23:00:00.000Z,STANDARD,6a4d59f465724db9ded3f918,63,78
PTCG,Sunny's Weekly #266 Live from The Abyss!,2026-07-20T22:05:00.000Z,STANDARD,6a543fe6c0a6bab82fbbcca8,210,145
